	frequency
surely	13
ran	13
alter	13
lovely	13
sound	13
extremely	13
dressed	13
curiosity	13
sighed	13
means	13
forgive	13
whispered	13
top	13
hidden	13
mode	13
erskine	13
lit	13
father	13
kill	13
able	13
making	13
side	13
store	12
curtain	12
geoffrey	12
knows	12
revealed	12
forehead	12
worship	12
houses	12
genius	12
ill	12
cruel	12
year	12
beginning	12
conscience	12
embroidered	12
discovered	12
summer	12
wondered	12
pay	12
within	12
stop	12
yesterday	12
interesting	12
boyhood	12
pretty	12
windows	12
rough	12
grave	12
doesn	12
listen	12
crime	12
caught	12
forgotten	12
lived	12
ideal	12
wind	12
afterwards	12
determined	12
whether	12
bright	12
lose	12
trying	12
selby	12
mist	12
morrow	12
sunlight	12
seem	12
lay	12
mine	12
effect	12
trouble	12
nowadays	12
knife	12
town	11
troubled	11
ourselves	11
giving	11
worth	11
roses	11
scientific	11
tragic	11
foolish	11
mrs	11
shown	11
spirit	11
hall	11
tedious	11
spoiled	11
wrought	11
shaped	11
annoyed	11
escape	11
silence	11
birds	11
dine	11
early	11
curiously	11
value	11
jealous	11
placed	11
gazing	11
sick	11
beside	11
paper	11
lead	11
piece	11
floor	11
closed	11
public	11
putting	11
eight	11
hat	11
sailor	11
somewhat	11
doubt	11
second	11
hate	11
cheeks	11
shot	11
bell	11
cry	11
finished	11
understood	11
walking	11
dark	11
cut	11
struck	11
ear	11
sudden	11
continued	11
deal	11
six	11
sky	11
george	11
during	11
laid	11
ready	10
assure	10
safe	10
history	10
prayer	10
frowned	10
fine	10
blossoms	10
waited	10
thrust	10
exhibit	10
written	10
trust	10
sleep	10
third	10
shadow	10
drove	10
sister	10
thinking	10
eye	10
worse	10
wine	10
beneath	10
hundred	10
everybody	10
presence	10
park	10
infinite	10
dream	10
future	10
deep	10
week	10
adrian	10
elaborate	10
cruelty	10
dreadfully	10
kissed	10
month	10
hard	10
hated	10
hesitated	10
playing	10
intellect	10
realise	10
indifferent	10
sad	10
living	10
view	10
sorrow	10
case	10
pure	10
comes	10
throat	10
led	10
faces	10
murdered	10
worshipped	10
fatal	10
straight	10
threw	10
horse	10
gladys	10
murder	10
grow	10
altered	10
king	10
corruption	9
locked	9
wondering	9
brother	9
rushed	9
younger	9
cup	9
turning	9
pink	9
winter	9
faint	9
mask	9
charmed	9
queen	9
quarrel	9
secrets	9
golden	9
watching	9
ivory	9
allowed	9
held	9
study	9
leaning	9
high	9
shrugged	9
duke	9
madness	9
hansom	9
sofa	9
natural	9
science	9
eleven	9
ugly	9
jewelled	9
coarse	9
moral	9
bound	9
francis	9
interested	9
wotton	9
fall	9
showed	9
passing	9
aside	9
marred	9
burden	9
shaking	9
fashionable	9
nice	9
older	9
greek	9
water	9
stir	9
turn	9
thomas	9
ceased	9
frame	9
clever	9
delicate	9
friendship	9
nonsense	9
fascinated	9
shrill	9
image	9
promised	9
ground	9
books	9
wall	9
spent	9
actress	9
wicked	8
moods	8
sorrows	8
four	8
remarked	8
paint	8
hubbard	8
meant	8
dangerous	8
creature	8
kelso	8
peril	8
creeping	8
polished	8
appearance	8
possible	8
seated	8
position	8
mock	8
colours	8
mystery	8
tremulous	8
confession	8
several	8
poison	8
stepped	8
purity	8
misshapen	8
confess	8
missed	8
bed	8
wants	8
burning	8
anybody	8
nor	8
dust	8
wrote	8
ruin	8
repeated	8
dreams	8
piano	8
run	8
singleton	8
somewhere	8
pallid	8
fascination	8
places	8
remain	8
added	8
coffee	8
jew	8
longer	8
among	8
strong	8
awfully	8
broken	8
brown	8
emotions	8
twice	8
theory	8
unconscious	8
nine	8
tried	8
quarter	8
fault	8
knock	8
wrinkled	8
isn	8
handkerchief	8
figure	8
pearls	8
scenes	8
follow	8
passionate	8
scandal	8
thirty	8
bored	8
refuse	8
dawn	8
destroyed	8
simple	8
move	8
examined	8
wore	8
grass	8
free	8
square	8
wait	8
choice	8
letters	8
train	8
moon	8
eighteen	8
stretched	8
nineteenth	8
french	8
none	8
worn	8
vanity	8
shoulder	8
listlessly	8
short	8
artistic	7
streets	7
clear	7
shut	7
grown	7
views	7
wood	7
outside	7
yours	7
drive	7
season	7
evidence	7
reveal	7
dog	7
object	7
happiness	7
wretched	7
orders	7
spoken	7
gods	7
pride	7
companion	7
fresh	7
weeks	7
odour	7
bitter	7
gallery	7
stern	7
echoed	7
novel	7
explain	7
trembling	7
dressing	7
emotion	7
phrase	7
harsh	7
talked	7
shudder	7
victor	7
frightened	7
ugliness	7
race	7
reminded	7
rejoined	7
grotesque	7
drawing	7
pause	7
principles	7
becomes	7
gives	7
rage	7
growing	7
thoroughly	7
hide	7
hours	7
lunch	7
afternoon	7
virtues	7
artists	7
leaving	7
along	7
class	7
grey	7
marble	7
romeo	7
elder	7
cure	7
forward	7
instinct	7
pass	7
strolled	7
importance	7
steps	7
dare	7
explained	7
suffered	7
flushed	7
servants	7
temperament	7
shakespeare	7
graceful	7
laughter	7
vain	7
thread	7
mirror	7
earth	7
attention	7
sake	7
admit	7
swept	7
sensations	7
liked	7
eyebrows	7
smoke	7
rang	7
gravely	7
destroy	7
mood	7
complex	7
wasn	7
direction	7
vivid	7
suffer	7
buried	7
empty	7
price	7
finally	7
tells	7
heavens	7
propose	7
mysterious	7
replied	7
seeing	7
stand	7
proud	7
dominated	7
single	7
moving	7
smoking	7
method	7
american	7
bowed	7
twelve	7
offered	7
delight	7
guests	7
party	7
miss	7
parted	7
engaged	7
thoughts	7
everyone	6
venetian	6
plays	6
shuddered	6
particular	6
audience	6
stared	6
ears	6
wings	6
rings	6
page	6
middle	6
paid	6
rising	6
pearl	6
philosophy	6
pose	6
forest	6
purely	6
winced	6
account	6
americans	6
greatest	6
ways	6
produced	6
sweet	6
hetty	6
burned	6
mention	6
dusky	6
later	6
nobody	6
stain	6
wise	6
absolute	6
heaven	6
hoarse	6
hostess	6
lonely	6
dreamed	6
existence	6
wounded	6
character	6
